
1,2022-09-13,kiwi,0.5,2022-9-18
3,2022-09-13,kiwi,0.5,2022-9-18
4,2022-09-13,lemon,0.35,2022-9-18
6,2022-09-13,pineapple,0.95,2022-9-18
7,2022-09-13,melon,1,2022-9-18
9,2022-09-13,apple,0.9,2022-9-18
10,2022-09-13,banana,0.7,2022-9-18
12,2022-09-13,apple,0.9,2022-9-18
13,2022-09-13,lemon,0.35,2022-9-18
15,2022-09-13,lemon,0.35,2022-9-18
17,2022-09-14,pineapple,0.95,2022-9-19
19,2022-09-14,apple,0.9,2022-9-19
20,2022-09-14,apple,0.9,2022-9-19
22,2022-09-14,pineapple,0.95,2022-9-19
23,2022-09-14,melon,1,2022-9-19
25,2022-09-14,lemon,0.35,2022-9-19
26,2022-09-14,melon,1,2022-9-19
28,2022-09-14,kiwi,0.5,2022-9-19
29,2022-09-14,dragon_fruit,1.5,2022-9-19
31,2022-09-14,apple,0.9,2022-9-19
33,2022-09-15,kiwi,0.5,2022-9-20
35,2022-09-15,lemon,0.35,2022-9-20
36,2022-09-15,lemon,0.35,2022-9-20
38,2022-09-15,melon,1,2022-9-20
39,2022-09-15,pineapple,0.95,2022-9-20
41,2022-09-15,melon,1,2022-9-20
42,2022-09-15,dragon_fruit,1.5,2022-9-20
44,2022-09-15,apple,0.9,2022-9-20
45,2022-09-15,pineapple,0.95,2022-9-20
47,2022-09-15,banana,0.7,2022-9-20
49,2022-09-16,melon,1,2022-9-21
51,2022-09-16,kiwi,0.5,2022-9-21
52,2022-09-16,dragon_fruit,1.5,2022-9-21
54,2022-09-16,melon,1,2022-9-21
55,2022-09-16,dragon_fruit,1.5,2022-9-21
57,2022-09-16,dragon_fruit,1.5,2022-9-21
58,2022-09-16,melon,1,2022-9-21
60,2022-09-16,lemon,0.35,2022-9-21
61,2022-09-16,pineapple,0.95,2022-9-21
63,2022-09-16,lemon,0.35,2022-9-21
65,2022-09-17,melon,1,2022-9-22
67,2022-09-17,dragon_fruit,1.5,2022-9-22
68,2022-09-17,kiwi,0.5,2022-9-22
70,2022-09-17,lemon,0.35,2022-9-22
71,2022-09-17,banana,0.7,2022-9-22
73,2022-09-17,dragon_fruit,1.5,2022-9-22
74,2022-09-17,pineapple,0.95,2022-9-22
76,2022-09-17,melon,1,2022-9-22
77,2022-09-17,melon,1,2022-9-22
79,2022-09-17,apple,0.9,2022-9-22
81,2022-09-18,melon,1,2022-9-23
83,2022-09-18,apple,0.9,2022-9-23
84,2022-09-18,dragon_fruit,1.5,2022-9-23
86,2022-09-18,banana,0.7,2022-9-23
87,2022-09-18,melon,1,2022-9-23
89,2022-09-18,pineapple,0.95,2022-9-23
90,2022-09-18,melon,1,2022-9-23
92,2022-09-18,pineapple,0.95,2022-9-23
93,2022-09-18,dragon_fruit,1.5,2022-9-23
95,2022-09-18,banana,0.7,2022-9-23
97,2022-09-19,apple,0.9,2022-9-24
99,2022-09-19,kiwi,0.5,2022-9-24
100,2022-09-19,melon,1,2022-9-24
102,2022-09-19,kiwi,0.5,2022-9-24
103,2022-09-19,pineapple,0.95,2022-9-24
105,2022-09-19,banana,0.7,2022-9-24
106,2022-09-19,apple,0.9,2022-9-24
108,2022-09-19,lemon,0.35,2022-9-24
109,2022-09-19,banana,0.7,2022-9-24
111,2022-09-19,lemon,0.35,2022-9-24
113,2022-09-20,kiwi,0.5,2022-9-25
115,2022-09-20,banana,0.7,2022-9-25
116,2022-09-20,lemon,0.35,2022-9-25
118,2022-09-20,apple,0.9,2022-9-25
119,2022-09-20,lemon,0.35,2022-9-25
121,2022-09-20,melon,1,2022-9-25
122,2022-09-20,apple,0.9,2022-9-25
124,2022-09-20,pineapple,0.95,2022-9-25
125,2022-09-20,banana,0.7,2022-9-25
127,2022-09-20,banana,0.7,2022-9-25
130,2022-09-21,lemon,0.35,2022-9-26
132,2022-09-21,melon,1,2022-9-26
133,2022-09-21,dragon_fruit,1.5,2022-9-26
135,2022-09-21,dragon_fruit,1.5,2022-9-26
136,2022-09-21,dragon_fruit,1.5,2022-9-26
138,2022-09-21,pineapple,0.95,2022-9-26
139,2022-09-21,apple,0.9,2022-9-26
141,2022-09-21,apple,0.9,2022-9-26
142,2022-09-21,pineapple,0.95,2022-9-26
144,2022-09-21,banana,0.7,2022-9-26
146,2022-09-22,lemon,0.35,2022-9-27
148,2022-09-22,lemon,0.35,2022-9-27
149,2022-09-22,banana,0.7,2022-9-27
151,2022-09-22,dragon_fruit,1.5,2022-9-27
152,2022-09-22,lemon,0.35,2022-9-27
154,2022-09-22,pineapple,0.95,2022-9-27
155,2022-09-22,lemon,0.35,2022-9-27
157,2022-09-22,pineapple,0.95,2022-9-27
158,2022-09-22,melon,1,2022-9-27
160,2022-09-22,pineapple,0.95,2022-9-27
163,2022-09-23,lemon,0.35,2022-9-28
165,2022-09-23,banana,0.7,2022-9-28
166,2022-09-23,lemon,0.35,2022-9-28
168,2022-09-23,kiwi,0.5,2022-9-28
169,2022-09-23,melon,1,2022-9-28
171,2022-09-23,lemon,0.35,2022-9-28
172,2022-09-23,kiwi,0.5,2022-9-28
174,2022-09-23,apple,0.9,2022-9-28
175,2022-09-23,banana,0.7,2022-9-28
177,2022-09-23,lemon,0.35,2022-9-28
180,2022-09-24,lemon,0.35,2022-9-29
182,2022-09-24,melon,1,2022-9-29
183,2022-09-24,melon,1,2022-9-29
185,2022-09-24,kiwi,0.5,2022-9-29
186,2022-09-24,pineapple,0.95,2022-9-29
188,2022-09-24,pineapple,0.95,2022-9-29
189,2022-09-24,kiwi,0.5,2022-9-29
191,2022-09-24,kiwi,0.5,2022-9-29
192,2022-09-24,banana,0.7,2022-9-29
194,2022-09-24,apple,0.9,2022-9-29
199,2022-09-25,lemon,0.35,2022-9-30
201,2022-09-25,apple,0.9,2022-9-30
202,2022-09-25,dragon_fruit,1.5,2022-9-30
204,2022-09-25,lemon,0.35,2022-9-30
205,2022-09-25,pineapple,0.95,2022-9-30
207,2022-09-25,banana,0.7,2022-9-30
208,2022-09-25,kiwi,0.5,2022-9-30
210,2022-09-25,kiwi,0.5,2022-9-30
211,2022-09-25,apple,0.9,2022-9-30
213,2022-09-25,banana,0.7,2022-9-30
217,2022-09-26,dragon_fruit,1.5,2022-10-1
219,2022-09-26,lemon,0.35,2022-10-1
220,2022-09-26,kiwi,0.5,2022-10-1
222,2022-09-26,kiwi,0.5,2022-10-1
223,2022-09-26,kiwi,0.5,2022-10-1
225,2022-09-26,pineapple,0.95,2022-10-1
226,2022-09-26,banana,0.7,2022-10-1
228,2022-09-26,banana,0.7,2022-10-1
229,2022-09-26,dragon_fruit,1.5,2022-10-1
231,2022-09-26,apple,0.9,2022-10-1
239,2022-09-27,lemon,0.35,2022-10-2
241,2022-09-27,lemon,0.35,2022-10-2
242,2022-09-27,kiwi,0.5,2022-10-2
244,2022-09-27,apple,0.9,2022-10-2
245,2022-09-27,lemon,0.35,2022-10-2
247,2022-09-27,banana,0.7,2022-10-2
248,2022-09-27,pineapple,0.95,2022-10-2
250,2022-09-27,kiwi,0.5,2022-10-2
251,2022-09-27,apple,0.9,2022-10-2
253,2022-09-27,dragon_fruit,1.5,2022-10-2
259,2022-09-28,melon,1,2022-10-3
261,2022-09-28,kiwi,0.5,2022-10-3
262,2022-09-28,melon,1,2022-10-3
264,2022-09-28,apple,0.9,2022-10-3
265,2022-09-28,lemon,0.35,2022-10-3
267,2022-09-28,pineapple,0.95,2022-10-3
268,2022-09-28,melon,1,2022-10-3
270,2022-09-28,lemon,0.35,2022-10-3
271,2022-09-28,kiwi,0.5,2022-10-3
273,2022-09-28,lemon,0.35,2022-10-3
282,2022-09-29,apple,0.9,2022-10-4
284,2022-09-29,banana,0.7,2022-10-4
285,2022-09-29,dragon_fruit,1.5,2022-10-4
287,2022-09-29,apple,0.9,2022-10-4
288,2022-09-29,melon,1,2022-10-4
290,2022-09-29,lemon,0.35,2022-10-4
291,2022-09-29,lemon,0.35,2022-10-4
293,2022-09-29,kiwi,0.5,2022-10-4
294,2022-09-29,pineapple,0.95,2022-10-4
296,2022-09-29,kiwi,0.5,2022-10-4
303,2022-09-30,dragon_fruit,1.5,2022-10-5
305,2022-09-30,lemon,0.35,2022-10-5
306,2022-09-30,kiwi,0.5,2022-10-5
308,2022-09-30,kiwi,0.5,2022-10-5
309,2022-09-30,melon,1,2022-10-5
311,2022-09-30,pineapple,0.95,2022-10-5
312,2022-09-30,apple,0.9,2022-10-5
314,2022-09-30,banana,0.7,2022-10-5
315,2022-09-30,apple,0.9,2022-10-5
317,2022-09-30,apple,0.9,2022-10-5
323,2022-10-01,dragon_fruit,1.5,2022-10-6
325,2022-10-01,banana,0.7,2022-10-6
326,2022-10-01,dragon_fruit,1.5,2022-10-6
328,2022-10-01,pineapple,0.95,2022-10-6
329,2022-10-01,kiwi,0.5,2022-10-6
331,2022-10-01,dragon_fruit,1.5,2022-10-6
332,2022-10-01,kiwi,0.5,2022-10-6
334,2022-10-01,melon,1,2022-10-6
335,2022-10-01,banana,0.7,2022-10-6
337,2022-10-01,dragon_fruit,1.5,2022-10-6
344,2022-10-02,banana,0.7,2022-10-7
346,2022-10-02,melon,1,2022-10-7
347,2022-10-02,melon,1,2022-10-7
349,2022-10-02,kiwi,0.5,2022-10-7
