
2,1,2022-09-13,5
5,4,2022-09-13,3
8,7,2022-09-13,2
11,10,2022-09-13,1
14,13,2022-09-13,2
18,6,2022-09-14,1
21,9,2022-09-14,1
24,23,2022-09-14,4
27,26,2022-09-14,4
30,29,2022-09-14,3
34,3,2022-09-15,2
37,15,2022-09-15,5
40,17,2022-09-15,2
43,42,2022-09-15,1
46,22,2022-09-15,5
50,38,2022-09-16,5
53,52,2022-09-16,1
56,55,2022-09-16,3
59,41,2022-09-16,4
62,39,2022-09-16,4
66,49,2022-09-17,3
69,28,2022-09-17,1
72,47,2022-09-17,2
75,45,2022-09-17,1
78,54,2022-09-17,2
82,58,2022-09-18,2
85,57,2022-09-18,3
88,65,2022-09-18,1
91,76,2022-09-18,1
94,67,2022-09-18,2
98,12,2022-09-19,4
101,77,2022-09-19,2
104,61,2022-09-19,1
107,19,2022-09-19,1
110,71,2022-09-19,5
114,33,2022-09-20,3
117,25,2022-09-20,1
120,35,2022-09-20,3
123,20,2022-09-20,1
126,86,2022-09-20,3
128,31,2022-09-20,0
131,36,2022-09-21,1
134,73,2022-09-21,1
137,84,2022-09-21,2
140,44,2022-09-21,1
143,74,2022-09-21,1
147,60,2022-09-22,2
150,95,2022-09-22,2
153,63,2022-09-22,1
156,70,2022-09-22,4
159,81,2022-09-22,3
161,51,2022-09-22,0
164,108,2022-09-23,1
167,111,2022-09-23,5
170,87,2022-09-23,1
173,68,2022-09-23,3
176,105,2022-09-23,2
178,79,2022-09-23,0
181,116,2022-09-24,3
184,90,2022-09-24,3
187,89,2022-09-24,1
190,99,2022-09-24,3
193,109,2022-09-24,2
195,83,2022-09-24,0
196,92,2022-09-24,0
197,93,2022-09-24,0
200,119,2022-09-25,5
203,133,2022-09-25,4
206,103,2022-09-25,5
209,102,2022-09-25,5
212,97,2022-09-25,5
214,100,2022-09-25,0
215,106,2022-09-25,0
218,135,2022-09-26,5
221,113,2022-09-26,3
224,168,2022-09-26,2
227,115,2022-09-26,3
230,136,2022-09-26,4
232,118,2022-09-26,0
233,121,2022-09-26,0
234,122,2022-09-26,0
235,124,2022-09-26,0
236,125,2022-09-26,0
237,127,2022-09-26,0
240,130,2022-09-27,5
243,172,2022-09-27,2
246,146,2022-09-27,5
249,138,2022-09-27,2
252,139,2022-09-27,2
254,132,2022-09-27,0
255,141,2022-09-27,0
256,142,2022-09-27,0
257,144,2022-09-27,0
260,158,2022-09-28,3
263,169,2022-09-28,3
266,148,2022-09-28,4
269,182,2022-09-28,4
272,185,2022-09-28,3
274,149,2022-09-28,0
275,151,2022-09-28,0
276,152,2022-09-28,0
277,154,2022-09-28,0
278,155,2022-09-28,0
279,157,2022-09-28,0
280,160,2022-09-28,0
283,174,2022-09-29,1
286,202,2022-09-29,1
289,183,2022-09-29,2
292,163,2022-09-29,5
295,186,2022-09-29,1
297,165,2022-09-29,0
298,166,2022-09-29,0
299,171,2022-09-29,0
300,175,2022-09-29,0
301,177,2022-09-29,0
304,217,2022-09-30,3
307,189,2022-09-30,4
310,259,2022-09-30,2
313,194,2022-09-30,1
316,201,2022-09-30,3
318,180,2022-09-30,0
319,188,2022-09-30,0
320,191,2022-09-30,0
321,192,2022-09-30,0
324,229,2022-10-01,2
327,253,2022-10-01,1
330,208,2022-10-01,5
333,210,2022-10-01,2
336,207,2022-10-01,5
338,199,2022-10-01,0
339,204,2022-10-01,0
340,205,2022-10-01,0
341,211,2022-10-01,0
342,213,2022-10-01,0
345,226,2022-10-02,3
348,262,2022-10-02,3
351,225,2022-10-02,1
354,248,2022-10-02,1
357,219,2022-10-02,4
359,220,2022-10-02,0
360,222,2022-10-02,0
361,223,2022-10-02,0
362,228,2022-10-02,0
363,231,2022-10-02,0
365,239,2022-10-03,0
366,241,2022-10-03,0
367,242,2022-10-03,0
368,244,2022-10-03,0
369,245,2022-10-03,0
370,247,2022-10-03,0
371,250,2022-10-03,0
372,251,2022-10-03,0
